item_id,order_id,product_id,quantity,unit_price,discount_percent
1,155,449,4,1518.28,33
2,212,154,4,2824.02,35
3,451,377,10,9124.62,40
4,285,254,7,564.15,22
5,403,269,7,3255.47,26
6,77,154,7,3826.96,34
7,124,435,8,2330.91,9
8,469,30,8,5667.62,26
9,272,69,9,3945.35,16
10,170,332,-4,882.8,28
11,48,275,6,7273.39,12
12,138,194,1,6769.35,38
13,448,38,1,1962.82,37
14,112,246,9,2168.0,21
15,490,466,5,251.8,12
16,383,387,2,4841.32,15
17,361,105,10,4026.66,15
18,165,398,9,2902.29,29
19,333,184,9,3153.38,23
20,452,255,9,4713.44,30
21,469,105,6,3769.98,26
22,289,443,1,2290.61,9
23,134,284,1,9354.11,37
24,152,79,7,2042.3,14
25,292,427,7,2532.73,35
26,132,391,6,8233.76,31
27,87,376,8,7970.26,10
28,369,280,3,4934.33,34
29,269,18,1,8406.78,4
30,392,4,1,4182.68,40
31,35,363,4,1595.19,13
32,234,192,9,698.46,40
33,468,248,10,6626.91,1
34,273,283,1,4172.25,1
35,370,141,9,5403.81,18
36,258,417,1,7008.8,27
37,55,471,3,1053.51,9
38,99,318,4,5311.91,22
39,408,204,5,882.29,25
40,290,125,8,9903.31,14
41,351,424,5,8493.88,2
42,208,195,2,3833.98,30
43,327,5,1,7058.17,5
44,433,223,8,6484.58,21
45,440,499,10,1044.08,33
46,118,109,1,9022.6,36
47,139,24,8,9249.18,17
48,289,337,9,425.73,20
49,493,107,1,5911.66,25
50,154,84,2,5683.19,36
51,347,460,7,5451.57,24
52,405,353,3,7269.22,32
53,28,51,6,4427.17,4
54,310,394,6,6177.27,38
55,497,397,7,3331.13,40
56,402,231,5,4956.97,22
57,482,193,9,4375.29,37
58,44,396,7,6224.3,15
59,43,138,2,1626.79,40
60,379,200,3,3235.11,6
61,3,483,2,3151.85,23
62,53,68,5,964.24,27
63,286,285,8,5173.16,6
64,46,182,1,5586.78,38
65,402,167,10,8650.81,0
66,212,199,5,7813.77,35
67,293,267,4,1778.87,24
68,72,138,3,3081.2,31
69,33,86,-3,4403.3,26
70,248,401,5,861.52,16
71,370,321,4,5008.44,39
72,235,55,4,1441.35,0
73,171,431,7,6239.9,21
74,172,221,-8,8173.21,38
75,154,165,3,6071.79,12
76,161,91,8,9649.29,20
77,377,356,5,6365.73,36
78,167,193,4,2874.97,25
79,59,478,6,5682.12,37
80,93,350,9,7699.42,1
81,483,363,8,2175.52,18
82,420,435,2,7977.0,26
83,72,325,8,3098.04,16
84,367,217,3,7911.86,4
85,307,246,-8,5864.22,34
86,473,472,9,8709.37,26
87,19,405,9,9687.44,34
88,327,469,10,941.32,15
89,86,332,6,6165.51,36
90,496,386,7,3382.81,27
91,6,51,2,2661.51,32
92,286,298,9,6907.88,14
93,192,201,8,4684.33,37
94,78,177,9,9977.26,30
95,152,213,2,9213.42,5
96,426,482,2,7328.49,22
97,176,234,5,7864.27,33
98,179,244,8,1066.47,28
99,35,154,6,542.36,7
100,435,176,1,6514.9,10
101,265,90,4,5563.91,21
102,219,491,9,4674.34,25
103,96,328,3,6607.35,25
104,378,315,1,8842.66,28
105,220,200,-10,144.06,13
106,143,386,4,7067.22,4
107,53,410,10,8732.6,11
108,167,101,6,4629.75,16
109,271,495,8,6427.17,38
110,313,201,7,5911.35,22
111,433,235,6,6211.89,19
112,303,44,10,6753.89,20
113,123,157,2,1257.79,23
114,262,199,3,4240.57,8
115,197,217,10,1938.96,40
116,356,471,9,6488.07,11
117,86,251,9,2959.46,11
118,432,231,6,6232.16,22
119,249,70,1,2031.77,24
120,259,335,9,5000.2,31
121,364,431,7,4494.13,10
122,290,16,2,7979.22,14
123,17,141,5,2325.95,18
124,400,235,3,5699.94,31
125,262,58,-9,5769.87,17
126,422,188,9,5466.23,2
127,280,112,8,9898.78,6
128,153,448,4,9993.2,28
129,179,442,5,8185.61,28
130,398,416,2,2445.77,37
131,441,364,6,6141.59,27
132,316,72,3,7870.01,13
133,292,180,1,5369.58,38
134,87,166,9,9792.1,18
135,294,137,5,9528.73,32
136,70,493,2,7525.93,26
137,142,444,1,6593.37,8
138,75,365,4,3288.76,15
139,251,73,7,5816.51,17
140,193,232,7,847.61,5
141,264,384,7,2854.43,23
142,487,250,8,3340.16,0
143,375,498,2,4638.65,22
144,408,274,2,4037.39,27
145,254,138,4,3296.36,18
146,281,296,6,1392.88,31
147,458,350,6,7646.31,2
148,321,402,2,8383.35,1
149,476,440,2,1664.04,29
150,491,220,1,2102.95,8
151,82,448,5,9333.98,17
152,336,185,2,2578.85,23
153,27,203,3,6293.48,14
154,336,47,7,7066.61,0
155,245,40,4,1413.73,14
156,349,228,-9,191.94,21
157,441,217,2,6970.91,30
158,118,197,2,984.38,6
159,161,189,2,8821.79,8
160,397,417,7,7556.26,8
161,36,272,3,5676.58,39
162,226,180,3,7252.08,40
163,471,211,3,6199.15,28
164,45,460,4,1094.6,7
165,374,197,10,3580.2,27
166,406,72,6,2553.09,5
167,284,308,4,6040.08,38
168,399,482,5,6935.71,19
169,266,311,4,5144.27,25
170,331,28,5,7859.64,15
171,198,58,8,2486.71,40
172,37,271,10,8898.37,0
173,479,163,6,1406.63,36
174,188,280,7,6861.13,30
175,9,301,2,768.57,16
176,21,473,4,698.64,25
177,147,322,9,7155.03,26
178,360,206,7,916.04,34
179,316,79,9,2846.93,19
180,262,472,2,2111.66,9
181,168,201,9,5905.73,4
182,358,224,5,7326.59,15
183,126,45,1,9253.81,7
184,314,312,8,644.78,11
185,7,363,2,1458.4,0
186,255,488,3,3532.38,33
187,86,191,5,1356.61,17
188,395,461,2,390.63,27
189,269,33,5,2703.2,36
190,255,234,2,5156.74,3
191,440,291,8,1752.13,10
192,396,53,5,8953.26,7
193,380,261,4,125.43,0
