order_id,customer_id,order_date,status,region_code
1,80.0,2025-08-27,Delivered,West
2,401.0,2025-12-26,Returned,East
3,320.0,2025-02-09,Pending,North
4,437.0,2025-02-27,Returned,West
5,489.0,2025-05-19,Returned,West
6,447.0,2026-01-30,Shipped,North
7,317.0,2025-04-07,Delivered,South
8,324.0,2025-09-10,Returned,South
9,383.0,2024-12-09,Delivered,West
10,Unknown,2025-03-18,Delivered,West
11,86.0,2025-01-07,Returned,North
12,24.0,2025-09-24,Returned,North
13,151.0,2024-12-12,Returned,East
14,221.0,2026-01-28,Cancelled,South
15,272.0,2026-06-12,Pending,South
16,88.0,2024-12-18,Cancelled,North
17,313.0,2026-01-21,Pending,South
18,255.0,2025-01-19,Shipped,South
19,119.0,2025-01-24,Pending,East
20,236.0,2025-02-11,Returned,North
21,461.0,2025-01-15,Pending,East
22,347.0,2026-04-03,Shipped,South
23,38.0,2026-04-04,Pending,East
24,301.0,2025-04-18,Returned,West
25,354.0,2026-02-21,Returned,West
26,433.0,2024-10-27,Returned,South
27,197.0,2024-09-27,Pending,North
28,122.0,2026-06-30,Pending,East
29,295.0,2025-07-27,Returned,East
30,12.0,2024-08-05,Pending,East
31,Unknown,2026-04-19,Shipped,North
32,467.0,15/08/2025,Shipped,West
33,427.0,2026-04-12,Returned,South
34,311.0,2025-04-29,Returned,South
35,326.0,2025-03-19,Cancelled,East
36,348.0,2026-05-19,Cancelled,North
37,463.0,2026-05-07,Delivered,East
38,404.0,2025-09-24,Pending,North
39,297.0,2025-02-17,Returned,South
40,47.0,2024-12-12,Returned,East
41,383.0,2026-02-10,Pending,South
42,103.0,2025-08-09,Cancelled,East
43,272.0,2025-05-18,Shipped,East
44,426.0,2026-01-31,Cancelled,East
45,468.0,2024-11-02,Pending,East
46,383.0,2025-08-20,Returned,North
47,240.0,2025-06-06,Delivered,South
48,387.0,15/08/2025,Cancelled,West
49,496.0,2024-08-24,Shipped,East
50,47.0,2025-04-11,Pending,North
51,136.0,2026-04-21,Shipped,North
52,233.0,2026-02-19,Returned,East
53,300.0,2025-07-01,Pending,East
54,56.0,2024-10-27,Cancelled,West
55,13.0,2025-08-14,Shipped,East
56,469.0,2025-03-19,Shipped,South
57,332.0,2024-08-07,Delivered,West
58,466.0,2025-12-06,Returned,West
59,60.0,2025-05-05,Cancelled,North
60,485.0,2024-10-13,Delivered,East
61,253.0,2025-04-22,Delivered,North
62,121.0,2026-04-23,Shipped,South
63,199.0,2024-12-15,Pending,East
64,344.0,2025-02-09,Shipped,West
65,301.0,2025-02-13,Cancelled,West
66,336.0,2026-07-02,Delivered,West
67,316.0,15/08/2025,Pending,East
68,17.0,15/08/2025,Returned,South
69,Unknown,2025-06-06,Pending,South
70,438.0,2025-06-03,Returned,North
71,352.0,2026-02-01,Returned,East
72,32.0,2025-04-24,Pending,East
73,98.0,2025-05-20,Delivered,West
74,Unknown,2025-06-26,Cancelled,North
75,26.0,2025-09-22,Returned,South
76,65.0,2026-07-17,Shipped,South
77,Unknown,2025-12-15,Shipped,South
78,301.0,2026-03-19,Cancelled,South
79,169.0,2026-01-09,Cancelled,North
80,142.0,2026-03-11,Cancelled,South
81,277.0,2025-09-10,Returned,South
82,57.0,2026-04-18,Delivered,South
83,8.0,2024-12-22,Returned,South
84,302.0,2026-03-08,Returned,North
85,Unknown,2026-01-22,Returned,North
86,65.0,2025-07-12,Pending,North
87,382.0,2024-08-08,Delivered,West
88,230.0,2025-06-05,Returned,North
89,232.0,2024-11-07,Shipped,South
90,485.0,2026-05-15,Shipped,North
91,373.0,15/08/2025,Shipped,East
92,235.0,2025-08-26,Delivered,North
93,246.0,2025-03-19,Pending,West
94,352.0,2025-07-22,Delivered,West
95,365.0,2025-01-31,Pending,North
96,461.0,2026-04-20,Delivered,East
97,312.0,2024-09-04,Cancelled,North
98,65.0,2024-10-12,Returned,East
99,196.0,2024-11-28,Shipped,East
100,233.0,2025-01-05,Shipped,West
101,51.0,2025-02-02,Delivered,South
102,221.0,2026-04-06,Pending,South
103,212.0,2024-10-10,Returned,West
104,205.0,2026-01-27,Pending,North
105,Unknown,2025-02-06,Pending,East
106,341.0,2025-04-21,Returned,East
107,489.0,2025-09-12,Cancelled,West
108,35.0,2026-03-16,Delivered,North
109,48.0,2025-04-09,Pending,North
110,382.0,2025-05-28,Returned,South
111,285.0,2025-04-14,Delivered,East
112,344.0,2025-12-10,Delivered,West
113,182.0,2025-10-17,Pending,North
114,496.0,2025-09-26,Returned,East
115,181.0,2025-11-19,Delivered,South
116,80.0,2025-08-29,Pending,South
117,434.0,2026-07-17,Delivered,East
118,433.0,2025-02-25,Shipped,East
