product_id,product_name,category,subcategory,cost_price
1,  morning  ,Electronics,Laptop,1170.15
2,  action  ,Electronics,Laptop,8734.45
3,  recognize  ,Electronics,Laptop,8600.07
4,  edge  ,Electronics,Laptop,2302.09
5,  thus  ,Electronics,Laptop,8184.21
6,  sure  ,Electronics,Laptop,4657.0
7,  positive  ,Electronics,Laptop,3121.39
8,  return  ,Electronics,Laptop,7973.92
9,  company  ,Electronics,Laptop,2353.2
10,  sometimes  ,Electronics,Laptop,334.28
11,  my  ,Electronics,Laptop,2011.98
12,  challenge  ,Electronics,Laptop,3349.79
13,  like  ,Electronics,Laptop,8657.09
14,  collection  ,Electronics,Laptop,9672.2
15,  country  ,Electronics,Laptop,2863.34
16,  others  ,Electronics,Laptop,6450.67
17,  others  ,Electronics,Laptop,4056.82
18,  receive  ,Electronics,Laptop,9813.38
19,  turn  ,Electronics,Laptop,5408.54
20,  child  ,Electronics,Laptop,9398.45
21,  simply  ,Electronics,Laptop,1241.88
22,  sign  ,Electronics,Laptop,9706.97
23,  member  ,Electronics,Laptop,1867.82
24,  wrong  ,Electronics,Laptop,9629.09
25,  her  ,Electronics,Laptop,2728.12
26,  amount  ,Electronics,Laptop,1173.19
27,  discuss  ,Electronics,Laptop,4402.18
28,  sort  ,Electronics,Laptop,7312.6
29,  method  ,Electronics,Laptop,3205.41
30,  each  ,Electronics,Laptop,6101.47
31,  at  ,Electronics,Laptop,5163.09
32,  everything  ,Electronics,Laptop,3913.43
33,  hope  ,Electronics,Laptop,5808.22
34,  east  ,Electronics,Laptop,2621.75
35,  and  ,Electronics,Laptop,7116.97
36,  relate  ,Electronics,Laptop,116.74
37,  design  ,Electronics,Laptop,9263.19
38,  national  ,Electronics,Laptop,5430.67
39,  whatever  ,Electronics,Laptop,7222.36
40,  strong  ,Electronics,Laptop,7445.31
41,  herself  ,Electronics,Laptop,6739.22
42,  important  ,Electronics,Laptop,3705.79
43,  manager  ,Electronics,Mobile,792.74
44,  whose  ,Electronics,Mobile,6675.95
45,  look  ,Electronics,Mobile,3368.98
46,  upon  ,Electronics,Mobile,3207.76
47,  any  ,Electronics,Mobile,8495.35
48,  among  ,Electronics,Mobile,7225.57
49,  range  ,Electronics,Mobile,3073.19
50,  game  ,Electronics,Mobile,3161.92
51,  board  ,Electronics,Mobile,4143.09
52,  score  ,Electronics,Mobile,4083.76
53,  near  ,Electronics,Mobile,3026.99
54,  property  ,Electronics,Mobile,1360.15
55,  themselves  ,Electronics,Mobile,4262.42
56,  eye  ,Electronics,Mobile,9409.6
57,  they  ,Electronics,Mobile,6805.45
58,  site  ,Electronics,Mobile,9037.77
59,  everyone  ,Electronics,Mobile,6193.6
60,  particular  ,Electronics,Mobile,3079.4
61,  off  ,Electronics,Mobile,5524.58
62,  over  ,Electronics,Mobile,104.02
63,  contain  ,Electronics,Mobile,2940.45
64,  however  ,Electronics,Mobile,4355.89
65,  ready  ,Electronics,Mobile,5841.85
66,  human  ,Electronics,Mobile,6581.59
67,  history  ,Electronics,Mobile,4703.38
68,  people  ,Electronics,Mobile,4477.38
69,  ready  ,Electronics,Mobile,2215.64
70,  water  ,Electronics,Mobile,4784.54
71,  thing  ,Electronics,Mobile,9021.69
72,  bank  ,Electronics,Mobile,7980.65
73,  nation  ,Electronics,Mobile,1779.94
74,  enter  ,Electronics,Mobile,939.48
75,  however  ,Electronics,Mobile,5202.97
76,  whatever  ,Electronics,Mobile,6366.11
77,  dog  ,Electronics,Mobile,3418.36
78,  name  ,Electronics,Mobile,8202.39
79,  into  ,Electronics,Mobile,7536.27
80,  head  ,Electronics,Mobile,6760.68
81,  technology  ,Electronics,Mobile,2323.94
82,  trip  ,Electronics,Mobile,2071.39
83,  hair  ,Electronics,Mobile,341.81
84,  message  ,Electronics,Mobile,2523.94
85,  structure  ,Electronics,Headphones,4803.85
86,  meet  ,Electronics,Headphones,8512.4
87,  very  ,Electronics,Headphones,821.0
88,  PM  ,Electronics,Headphones,4202.97
89,  according  ,Electronics,Headphones,6334.68
90,  more  ,Electronics,Headphones,2024.91
91,  us  ,Electronics,Headphones,6993.91
92,  chair  ,Electronics,Headphones,4994.33
93,  less  ,Electronics,Headphones,2515.45
94,  company  ,Electronics,Headphones,6594.97
95,  drug  ,Electronics,Headphones,154.89
96,  ball  ,Electronics,Headphones,7534.55
97,  my  ,Electronics,Headphones,7723.46
98,  question  ,Electronics,Headphones,1155.21
99,  fast  ,Electronics,Headphones,4308.95
100,  development  ,Electronics,Headphones,1841.28
101,  citizen  ,Electronics,Headphones,9583.86
102,  culture  ,Electronics,Headphones,5227.78
103,  coach  ,Electronics,Headphones,597.16
104,  high  ,Electronics,Headphones,2567.06
105,  play  ,Electronics,Headphones,8498.53
106,  series  ,Electronics,Headphones,4618.97
107,  technology  ,Electronics,Headphones,8034.02
108,  by  ,Electronics,Headphones,6709.02
109,  recent  ,Electronics,Headphones,9880.14
110,  drug  ,Electronics,Headphones,5994.98
111,  join  ,Electronics,Headphones,9505.39
112,  talk  ,Electronics,Headphones,8925.12
113,  give  ,Electronics,Headphones,6165.26
114,  service  ,Electronics,Headphones,7220.81
115,  build  ,Electronics,Headphones,5097.3
116,  meet  ,Electronics,Headphones,8322.63
117,  Republican  ,Electronics,Headphones,5523.93
118,  measure  ,Electronics,Headphones,8982.36
119,  measure  ,Electronics,Headphones,7462.19
120,  develop  ,Electronics,Headphones,4799.28
121,  performance  ,Electronics,Headphones,2666.0
122,  color  ,Electronics,Headphones,2547.67
123,  radio  ,Electronics,Headphones,6412.85
124,  these  ,Electronics,Headphones,7681.56
125,  item  ,Electronics,Headphones,5260.87
126,  age  ,Electronics,Headphones,6304.81
127,  either  ,Clothing,Shirt,2818.51
128,  animal  ,Clothing,Shirt,867.09
129,  care  ,Clothing,Shirt,2928.71
130,  painting  ,Clothing,Shirt,2789.98
131,  person  ,Clothing,Shirt,3265.12
132,  college  ,Clothing,Shirt,5447.51
133,  center  ,Clothing,Shirt,1469.9
134,  professional  ,Clothing,Shirt,2389.49
135,  music  ,Clothing,Shirt,6970.1
136,  among  ,Clothing,Shirt,7093.55
137,  vote  ,Clothing,Shirt,735.87
138,  page  ,Clothing,Shirt,4135.23
139,  choice  ,Clothing,Shirt,5471.85
140,  arrive  ,Clothing,Shirt,4216.16
141,  compare  ,Clothing,Shirt,2147.66
142,  evening  ,Clothing,Shirt,4259.42
143,  win  ,Clothing,Shirt,9057.9
144,  couple  ,Clothing,Shirt,5882.39
145,  nation  ,Clothing,Shirt,6985.68
146,  into  ,Clothing,Shirt,8581.65
147,  place  ,Clothing,Shirt,7679.39
148,  organization  ,Clothing,Shirt,3865.77
149,  public  ,Clothing,Shirt,158.37
150,  after  ,Clothing,Shirt,3582.41
151,  unit  ,Clothing,Shirt,7559.4
152,  serve  ,Clothing,Shirt,8549.13
153,  should  ,Clothing,Shirt,9538.96
154,  recently  ,Clothing,Shirt,4248.31
155,  term  ,Clothing,Shirt,7500.41
156,  federal  ,Clothing,Shirt,5506.71
157,  your  ,Clothing,Shirt,6072.2
158,  bed  ,Clothing,Shirt,2283.33
159,  direction  ,Clothing,Shirt,2272.27
160,  list  ,Clothing,Shirt,4414.78
161,  policy  ,Clothing,Shirt,387.35
162,  market  ,Clothing,Shirt,3427.68
163,  trip  ,Clothing,Shirt,6823.5
164,  meet  ,Clothing,Shirt,4102.74
165,  conference  ,Clothing,Shirt,1733.94
166,  discuss  ,Clothing,Shirt,4727.16
167,  then  ,Clothing,Shirt,1363.52
168,  item  ,Clothing,Shirt,6260.34
169,  plant  ,Clothing,Jeans,366.97
170,  character  ,Clothing,Jeans,4000.8
171,  study  ,Clothing,Jeans,5687.48
172,  pass  ,Clothing,Jeans,368.31
173,  tend  ,Clothing,Jeans,6463.22
174,  speak  ,Clothing,Jeans,1443.42
175,  court  ,Clothing,Jeans,4670.81
176,  price  ,Clothing,Jeans,597.82
177,  receive  ,Clothing,Jeans,3853.13
178,  much  ,Clothing,Jeans,2195.44
179,  everything  ,Clothing,Jeans,3335.77
180,  computer  ,Clothing,Jeans,7636.17
181,  shake  ,Clothing,Jeans,3853.35
182,  rich  ,Clothing,Jeans,7544.9
183,  guess  ,Clothing,Jeans,8336.05
184,  win  ,Clothing,Jeans,2597.49
185,  long  ,Clothing,Jeans,910.87
186,  pick  ,Clothing,Jeans,291.89
187,  performance  ,Clothing,Jeans,5440.25
188,  authority  ,Clothing,Jeans,9999.09
189,  drug  ,Clothing,Jeans,3564.61
190,  human  ,Clothing,Jeans,6536.43
191,  image  ,Clothing,Jeans,7834.21
192,  cause  ,Clothing,Jeans,6552.37
193,  boy  ,Clothing,Jeans,7566.91
194,  admit  ,Clothing,Jeans,9501.16
195,  degree  ,Clothing,Jeans,2073.67
196,  necessary  ,Clothing,Jeans,301.76
197,  trade  ,Clothing,Jeans,1608.59
198,  where  ,Clothing,Jeans,1349.59
199,  mother  ,Clothing,Jeans,6727.64
200,  return  ,Clothing,Jeans,5683.3
201,  kind  ,Clothing,Jeans,2257.85
202,  the  ,Clothing,Jeans,7024.7
203,  citizen  ,Clothing,Jeans,7692.29
204,  police  ,Clothing,Jeans,1761.11
205,  big  ,Clothing,Jeans,6111.75
206,  cost  ,Clothing,Jeans,7504.46
207,  maybe  ,Clothing,Jeans,1233.88
208,  week  ,Clothing,Jeans,8211.08
209,  possible  ,Clothing,Jeans,9650.74
210,  plan  ,Clothing,Jeans,1170.18
211,  American  ,Clothing,Jacket,354.22
212,  understand  ,Clothing,Jacket,3188.38
213,  step  ,Clothing,Jacket,6805.74
214,  night  ,Clothing,Jacket,9585.91
215,  most  ,Clothing,Jacket,4026.88
216,  soldier  ,Clothing,Jacket,7178.65
217,  buy  ,Clothing,Jacket,852.37
218,  better  ,Clothing,Jacket,6937.08
219,  meet  ,Clothing,Jacket,6309.7
220,  receive  ,Clothing,Jacket,1108.82
221,  case  ,Clothing,Jacket,7747.56
222,  week  ,Clothing,Jacket,8517.9
223,  player  ,Clothing,Jacket,6044.07
224,  notice  ,Clothing,Jacket,1298.45
225,  their  ,Clothing,Jacket,9840.06
226,  ability  ,Clothing,Jacket,7848.09
227,  watch  ,Clothing,Jacket,3537.32
228,  writer  ,Clothing,Jacket,4340.94
229,  stage  ,Clothing,Jacket,3768.65
230,  resource  ,Clothing,Jacket,5109.01
231,  range  ,Clothing,Jacket,3478.19
232,  lawyer  ,Clothing,Jacket,8510.8
233,  nearly  ,Clothing,Jacket,8241.08
234,  kitchen  ,Clothing,Jacket,1144.83
235,  hospital  ,Clothing,Jacket,9611.8
236,  two  ,Clothing,Jacket,6392.29
237,  animal  ,Clothing,Jacket,8304.2
238,  save  ,Clothing,Jacket,7102.36
239,  next  ,Clothing,Jacket,4411.32
240,  laugh  ,Clothing,Jacket,7364.57
241,  drop  ,Clothing,Jacket,9658.19
242,  writer  ,Clothing,Jacket,2773.82
243,  suffer  ,Clothing,Jacket,8101.17
244,  meet  ,Clothing,Jacket,5427.91
245,  strategy  ,Clothing,Jacket,4886.63
246,  specific  ,Clothing,Jacket,4412.19
247,  I  ,Clothing,Jacket,7337.16
248,  hard  ,Clothing,Jacket,2757.12
249,  perform  ,Clothing,Jacket,8531.96
250,  summer  ,Clothing,Jacket,8324.24
251,  site  ,Clothing,Jacket,957.96
252,  whatever  ,Clothing,Jacket,8828.15
253,  sort  ,Home,Chair,2514.25
254,  third  ,Home,Chair,4700.61
255,  same  ,Home,Chair,6142.28
256,  parent  ,Home,Chair,3851.99
257,  billion  ,Home,Chair,384.13
258,  large  ,Home,Chair,8524.43
259,  center  ,Home,Chair,1900.21
260,  environmental  ,Home,Chair,2199.99
261,  me  ,Home,Chair,7998.54
262,  space  ,Home,Chair,3469.35
263,  early  ,Home,Chair,8815.17
264,  where  ,Home,Chair,7041.72
265,  town  ,Home,Chair,2835.06
266,  because  ,Home,Chair,200.5
267,  federal  ,Home,Chair,9485.82
268,  piece  ,Home,Chair,947.57
269,  under  ,Home,Chair,7228.74
270,  of  ,Home,Chair,4936.92
271,  issue  ,Home,Chair,7605.83
272,  even  ,Home,Chair,6937.03
273,  current  ,Home,Chair,6494.44
274,  accept  ,Home,Chair,4959.13
275,  security  ,Home,Chair,7950.04
276,  six  ,Home,Chair,1021.23
277,  strategy  ,Home,Chair,2293.8
278,  account  ,Home,Chair,6948.69
279,  participant  ,Home,Chair,3131.44
280,  necessary  ,Home,Chair,5857.4
281,  buy  ,Home,Chair,4785.28
282,  nature  ,Home,Chair,5356.13
283,  account  ,Home,Chair,4312.49
284,  how  ,Home,Chair,7484.76
285,  real  ,Home,Chair,3374.83
286,  describe  ,Home,Chair,7058.26
287,  rise  ,Home,Chair,2782.07
288,  summer  ,Home,Chair,2588.9
289,  four  ,Home,Chair,1294.49
290,  issue  ,Home,Chair,2006.58
291,  high  ,Home,Chair,1283.59
292,  both  ,Home,Chair,5405.05
293,  clear  ,Home,Chair,7645.68
294,  last  ,Home,Chair,1932.98
295,  reach  ,Home,Table,2242.21
296,  pay  ,Home,Table,4893.57
297,  environment  ,Home,Table,7273.39
298,  every  ,Home,Table,9768.41
299,  top  ,Home,Table,5293.91
300,  north  ,Home,Table,2901.69
301,  land  ,Home,Table,1095.21
302,  other  ,Home,Table,2021.76
303,  history  ,Home,Table,2352.08
304,  population  ,Home,Table,1876.47
305,  fact  ,Home,Table,240.07
306,  response  ,Home,Table,5387.94
307,  industry  ,Home,Table,2815.68
308,  someone  ,Home,Table,9745.52
