product_id,product_name,category,subcategory,cost_price
1,Morning,Electronics,Laptop,1170.15
2,Action,Electronics,Laptop,8734.45
3,Recognize,Electronics,Laptop,8600.07
4,Edge,Electronics,Laptop,2302.09
5,Thus,Electronics,Laptop,8184.21
6,Sure,Electronics,Laptop,4657.0
7,Positive,Electronics,Laptop,3121.39
8,Return,Electronics,Laptop,7973.92
9,Company,Electronics,Laptop,2353.2
10,Sometimes,Electronics,Laptop,334.28
11,My,Electronics,Laptop,2011.98
12,Challenge,Electronics,Laptop,3349.79
13,Like,Electronics,Laptop,8657.09
14,Collection,Electronics,Laptop,9672.2
15,Country,Electronics,Laptop,2863.34
16,Others,Electronics,Laptop,6450.67
17,Others,Electronics,Laptop,4056.82
18,Receive,Electronics,Laptop,9813.38
19,Turn,Electronics,Laptop,5408.54
20,Child,Electronics,Laptop,9398.45
21,Simply,Electronics,Laptop,1241.88
22,Sign,Electronics,Laptop,9706.97
23,Member,Electronics,Laptop,1867.82
24,Wrong,Electronics,Laptop,9629.09
25,Her,Electronics,Laptop,2728.12
26,Amount,Electronics,Laptop,1173.19
27,Discuss,Electronics,Laptop,4402.18
28,Sort,Electronics,Laptop,7312.6
29,Method,Electronics,Laptop,3205.41
30,Each,Electronics,Laptop,6101.47
31,At,Electronics,Laptop,5163.09
32,Everything,Electronics,Laptop,3913.43
33,Hope,Electronics,Laptop,5808.22
34,East,Electronics,Laptop,2621.75
35,And,Electronics,Laptop,7116.97
36,Relate,Electronics,Laptop,116.74
37,Design,Electronics,Laptop,9263.19
38,National,Electronics,Laptop,5430.67
39,Whatever,Electronics,Laptop,7222.36
40,Strong,Electronics,Laptop,7445.31
41,Herself,Electronics,Laptop,6739.22
42,Important,Electronics,Laptop,3705.79
43,Manager,Electronics,Mobile,792.74
44,Whose,Electronics,Mobile,6675.95
45,Look,Electronics,Mobile,3368.98
46,Upon,Electronics,Mobile,3207.76
47,Any,Electronics,Mobile,8495.35
48,Among,Electronics,Mobile,7225.57
49,Range,Electronics,Mobile,3073.19
50,Game,Electronics,Mobile,3161.92
51,Board,Electronics,Mobile,4143.09
52,Score,Electronics,Mobile,4083.76
53,Near,Electronics,Mobile,3026.99
54,Property,Electronics,Mobile,1360.15
55,Themselves,Electronics,Mobile,4262.42
56,Eye,Electronics,Mobile,9409.6
57,They,Electronics,Mobile,6805.45
58,Site,Electronics,Mobile,9037.77
59,Everyone,Electronics,Mobile,6193.6
60,Particular,Electronics,Mobile,3079.4
61,Off,Electronics,Mobile,5524.58
62,Over,Electronics,Mobile,104.02
63,Contain,Electronics,Mobile,2940.45
64,However,Electronics,Mobile,4355.89
65,Ready,Electronics,Mobile,5841.85
66,Human,Electronics,Mobile,6581.59
67,History,Electronics,Mobile,4703.38
68,People,Electronics,Mobile,4477.38
69,Ready,Electronics,Mobile,2215.64
70,Water,Electronics,Mobile,4784.54
71,Thing,Electronics,Mobile,9021.69
72,Bank,Electronics,Mobile,7980.65
73,Nation,Electronics,Mobile,1779.94
74,Enter,Electronics,Mobile,939.48
75,However,Electronics,Mobile,5202.97
76,Whatever,Electronics,Mobile,6366.11
77,Dog,Electronics,Mobile,3418.36
78,Name,Electronics,Mobile,8202.39
79,Into,Electronics,Mobile,7536.27
80,Head,Electronics,Mobile,6760.68
81,Technology,Electronics,Mobile,2323.94
82,Trip,Electronics,Mobile,2071.39
83,Hair,Electronics,Mobile,341.81
84,Message,Electronics,Mobile,2523.94
85,Structure,Electronics,Headphones,4803.85
86,Meet,Electronics,Headphones,8512.4
87,Very,Electronics,Headphones,821.0
88,Pm,Electronics,Headphones,4202.97
89,According,Electronics,Headphones,6334.68
90,More,Electronics,Headphones,2024.91
91,Us,Electronics,Headphones,6993.91
92,Chair,Electronics,Headphones,4994.33
93,Less,Electronics,Headphones,2515.45
94,Company,Electronics,Headphones,6594.97
95,Drug,Electronics,Headphones,154.89
96,Ball,Electronics,Headphones,7534.55
97,My,Electronics,Headphones,7723.46
98,Question,Electronics,Headphones,1155.21
99,Fast,Electronics,Headphones,4308.95
100,Development,Electronics,Headphones,1841.28
101,Citizen,Electronics,Headphones,9583.86
102,Culture,Electronics,Headphones,5227.78
103,Coach,Electronics,Headphones,597.16
104,High,Electronics,Headphones,2567.06
105,Play,Electronics,Headphones,8498.53
106,Series,Electronics,Headphones,4618.97
107,Technology,Electronics,Headphones,8034.02
108,By,Electronics,Headphones,6709.02
109,Recent,Electronics,Headphones,9880.14
110,Drug,Electronics,Headphones,5994.98
111,Join,Electronics,Headphones,9505.39
112,Talk,Electronics,Headphones,8925.12
113,Give,Electronics,Headphones,6165.26
114,Service,Electronics,Headphones,7220.81
115,Build,Electronics,Headphones,5097.3
116,Meet,Electronics,Headphones,8322.63
117,Republican,Electronics,Headphones,5523.93
118,Measure,Electronics,Headphones,8982.36
119,Measure,Electronics,Headphones,7462.19
120,Develop,Electronics,Headphones,4799.28
121,Performance,Electronics,Headphones,2666.0
122,Color,Electronics,Headphones,2547.67
123,Radio,Electronics,Headphones,6412.85
124,These,Electronics,Headphones,7681.56
125,Item,Electronics,Headphones,5260.87
126,Age,Electronics,Headphones,6304.81
127,Either,Clothing,Shirt,2818.51
128,Animal,Clothing,Shirt,867.09
129,Care,Clothing,Shirt,2928.71
130,Painting,Clothing,Shirt,2789.98
131,Person,Clothing,Shirt,3265.12
132,College,Clothing,Shirt,5447.51
133,Center,Clothing,Shirt,1469.9
134,Professional,Clothing,Shirt,2389.49
135,Music,Clothing,Shirt,6970.1
136,Among,Clothing,Shirt,7093.55
137,Vote,Clothing,Shirt,735.87
138,Page,Clothing,Shirt,4135.23
139,Choice,Clothing,Shirt,5471.85
140,Arrive,Clothing,Shirt,4216.16
141,Compare,Clothing,Shirt,2147.66
142,Evening,Clothing,Shirt,4259.42
143,Win,Clothing,Shirt,9057.9
144,Couple,Clothing,Shirt,5882.39
145,Nation,Clothing,Shirt,6985.68
146,Into,Clothing,Shirt,8581.65
147,Place,Clothing,Shirt,7679.39
148,Organization,Clothing,Shirt,3865.77
149,Public,Clothing,Shirt,158.37
150,After,Clothing,Shirt,3582.41
151,Unit,Clothing,Shirt,7559.4
152,Serve,Clothing,Shirt,8549.13
153,Should,Clothing,Shirt,9538.96
154,Recently,Clothing,Shirt,4248.31
155,Term,Clothing,Shirt,7500.41
156,Federal,Clothing,Shirt,5506.71
157,Your,Clothing,Shirt,6072.2
158,Bed,Clothing,Shirt,2283.33
159,Direction,Clothing,Shirt,2272.27
160,List,Clothing,Shirt,4414.78
161,Policy,Clothing,Shirt,387.35
162,Market,Clothing,Shirt,3427.68
163,Trip,Clothing,Shirt,6823.5
164,Meet,Clothing,Shirt,4102.74
165,Conference,Clothing,Shirt,1733.94
166,Discuss,Clothing,Shirt,4727.16
167,Then,Clothing,Shirt,1363.52
168,Item,Clothing,Shirt,6260.34
169,Plant,Clothing,Jeans,366.97
170,Character,Clothing,Jeans,4000.8
171,Study,Clothing,Jeans,5687.48
172,Pass,Clothing,Jeans,368.31
173,Tend,Clothing,Jeans,6463.22
174,Speak,Clothing,Jeans,1443.42
175,Court,Clothing,Jeans,4670.81
176,Price,Clothing,Jeans,597.82
177,Receive,Clothing,Jeans,3853.13
178,Much,Clothing,Jeans,2195.44
179,Everything,Clothing,Jeans,3335.77
180,Computer,Clothing,Jeans,7636.17
181,Shake,Clothing,Jeans,3853.35
182,Rich,Clothing,Jeans,7544.9
183,Guess,Clothing,Jeans,8336.05
184,Win,Clothing,Jeans,2597.49
185,Long,Clothing,Jeans,910.87
186,Pick,Clothing,Jeans,291.89
187,Performance,Clothing,Jeans,5440.25
188,Authority,Clothing,Jeans,9999.09
189,Drug,Clothing,Jeans,3564.61
190,Human,Clothing,Jeans,6536.43
191,Image,Clothing,Jeans,7834.21
192,Cause,Clothing,Jeans,6552.37
193,Boy,Clothing,Jeans,7566.91
194,Admit,Clothing,Jeans,9501.16
195,Degree,Clothing,Jeans,2073.67
196,Necessary,Clothing,Jeans,301.76
197,Trade,Clothing,Jeans,1608.59
198,Where,Clothing,Jeans,1349.59
199,Mother,Clothing,Jeans,6727.64
200,Return,Clothing,Jeans,5683.3
201,Kind,Clothing,Jeans,2257.85
202,The,Clothing,Jeans,7024.7
203,Citizen,Clothing,Jeans,7692.29
204,Police,Clothing,Jeans,1761.11
205,Big,Clothing,Jeans,6111.75
206,Cost,Clothing,Jeans,7504.46
207,Maybe,Clothing,Jeans,1233.88
208,Week,Clothing,Jeans,8211.08
209,Possible,Clothing,Jeans,9650.74
210,Plan,Clothing,Jeans,1170.18
211,American,Clothing,Jacket,354.22
212,Understand,Clothing,Jacket,3188.38
213,Step,Clothing,Jacket,6805.74
214,Night,Clothing,Jacket,9585.91
215,Most,Clothing,Jacket,4026.88
216,Soldier,Clothing,Jacket,7178.65
217,Buy,Clothing,Jacket,852.37
218,Better,Clothing,Jacket,6937.08
219,Meet,Clothing,Jacket,6309.7
220,Receive,Clothing,Jacket,1108.82
221,Case,Clothing,Jacket,7747.56
222,Week,Clothing,Jacket,8517.9
223,Player,Clothing,Jacket,6044.07
224,Notice,Clothing,Jacket,1298.45
225,Their,Clothing,Jacket,9840.06
226,Ability,Clothing,Jacket,7848.09
227,Watch,Clothing,Jacket,3537.32
228,Writer,Clothing,Jacket,4340.94
229,Stage,Clothing,Jacket,3768.65
230,Resource,Clothing,Jacket,5109.01
231,Range,Clothing,Jacket,3478.19
232,Lawyer,Clothing,Jacket,8510.8
233,Nearly,Clothing,Jacket,8241.08
234,Kitchen,Clothing,Jacket,1144.83
235,Hospital,Clothing,Jacket,9611.8
236,Two,Clothing,Jacket,6392.29
237,Animal,Clothing,Jacket,8304.2
238,Save,Clothing,Jacket,7102.36
239,Next,Clothing,Jacket,4411.32
240,Laugh,Clothing,Jacket,7364.57
241,Drop,Clothing,Jacket,9658.19
242,Writer,Clothing,Jacket,2773.82
243,Suffer,Clothing,Jacket,8101.17
244,Meet,Clothing,Jacket,5427.91
245,Strategy,Clothing,Jacket,4886.63
246,Specific,Clothing,Jacket,4412.19
247,I,Clothing,Jacket,7337.16
248,Hard,Clothing,Jacket,2757.12
249,Perform,Clothing,Jacket,8531.96
250,Summer,Clothing,Jacket,8324.24
251,Site,Clothing,Jacket,957.96
252,Whatever,Clothing,Jacket,8828.15
253,Sort,Home,Chair,2514.25
254,Third,Home,Chair,4700.61
255,Same,Home,Chair,6142.28
256,Parent,Home,Chair,3851.99
257,Billion,Home,Chair,384.13
258,Large,Home,Chair,8524.43
259,Center,Home,Chair,1900.21
260,Environmental,Home,Chair,2199.99
261,Me,Home,Chair,7998.54
262,Space,Home,Chair,3469.35
263,Early,Home,Chair,8815.17
264,Where,Home,Chair,7041.72
265,Town,Home,Chair,2835.06
266,Because,Home,Chair,200.5
267,Federal,Home,Chair,9485.82
268,Piece,Home,Chair,947.57
269,Under,Home,Chair,7228.74
270,Of,Home,Chair,4936.92
271,Issue,Home,Chair,7605.83
272,Even,Home,Chair,6937.03
273,Current,Home,Chair,6494.44
274,Accept,Home,Chair,4959.13
275,Security,Home,Chair,7950.04
276,Six,Home,Chair,1021.23
277,Strategy,Home,Chair,2293.8
278,Account,Home,Chair,6948.69
279,Participant,Home,Chair,3131.44
280,Necessary,Home,Chair,5857.4
281,Buy,Home,Chair,4785.28
282,Nature,Home,Chair,5356.13
283,Account,Home,Chair,4312.49
284,How,Home,Chair,7484.76
285,Real,Home,Chair,3374.83
286,Describe,Home,Chair,7058.26
287,Rise,Home,Chair,2782.07
288,Summer,Home,Chair,2588.9
289,Four,Home,Chair,1294.49
290,Issue,Home,Chair,2006.58
291,High,Home,Chair,1283.59
292,Both,Home,Chair,5405.05
293,Clear,Home,Chair,7645.68
294,Last,Home,Chair,1932.98
295,Reach,Home,Table,2242.21
296,Pay,Home,Table,4893.57
297,Environment,Home,Table,7273.39
298,Every,Home,Table,9768.41
299,Top,Home,Table,5293.91
300,North,Home,Table,2901.69
301,Land,Home,Table,1095.21
302,Other,Home,Table,2021.76
303,History,Home,Table,2352.08
304,Population,Home,Table,1876.47
305,Fact,Home,Table,240.07
306,Response,Home,Table,5387.94
307,Industry,Home,Table,2815.68
308,Someone,Home,Table,9745.52
309,Democrat,Home,Table,5578.25
310,Job,Home,Table,7004.43
311,Old,Home,Table,1350.17
312,Step,Home,Table,8697.77
313,Onto,Home,Table,4959.7
314,Meeting,Home,Table,8739.93
315,Country,Home,Table,5783.24
316,Hospital,Home,Table,4747.03
317,Operation,Home,Table,4460.64
318,One,Home,Table,1925.2
319,Member,Home,Table,608.63
320,Environment,Home,Table,9416.53
321,Food,Home,Table,4829.52
322,Participant,Home,Table,8238.94
323,Guy,Home,Table,4067.0
324,Staff,Home,Table,833.41
325,Season,Home,Table,6331.51
326,Information,Home,Table,630.73
327,Simply,Home,Table,1577.06
328,Certainly,Home,Table,5672.11
329,Top,Home,Table,3107.97
330,Treat,Home,Table,9939.79
331,Receive,Home,Table,1272.67
332,By,Home,Table,7667.99
333,Small,Home,Table,6102.54
334,Drug,Home,Table,7928.33
335,Likely,Home,Table,2334.3
336,Stay,Home,Table,5273.47
337,Scene,Home,Sofa,4560.09
338,Color,Home,Sofa,4482.94
339,Black,Home,Sofa,8615.65
340,Difficult,Home,Sofa,9901.31
341,Movie,Home,Sofa,3123.26
342,Institution,Home,Sofa,6248.17
343,Stock,Home,Sofa,6135.35
344,Ground,Home,Sofa,7426.88
345,Suddenly,Home,Sofa,9481.14
